CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
0.09512;0.0;12.83;0;0.437;6.286;45.0;4.5026;5;398;18.7;383.23;8.94
0.03871;52.5;5.32;0;0.405;6.209;31.3;7.3172;6;293;16.6;396.9;7.14
0.34006;0.0;21.89;0;0.624;6.458;98.9;2.1185;4;437;21.2;395.04;12.6
0.02899;40.0;1.25;0;0.429;6.939;34.5;8.7921;1;335;19.7;389.85;5.89
0.22188;20.0;6.96;1;0.464;7.691;51.8;4.3665;3;223;18.6;390.77;6.58
88.9762;0.0;18.1;0;0.671;6.968;91.9;1.4165;24;666;20.2;396.9;17.21
7.99248;0.0;18.1;0;0.7;5.52;100.0;1.5331;24;666;20.2;396.9;24.56
0.04741;0.0;11.93;0;0.573;6.03;80.8;2.505;1;273;21.0;396.9;7.88
0.33045;0.0;6.2;0;0.507;6.086;61.5;3.6519;8;307;17.4;376.75;10.88
1.46336;0.0;19.58;0;0.605;7.489;90.8;1.9709;5;403;14.7;374.43;1.73
0.12269;0.0;6.91;0;0.448;6.069;40.0;5.7209;3;233;17.9;389.39;9.55
0.06047;0.0;2.46;0;0.488;6.153;68.8;3.2797;3;193;17.8;387.11;13.15
0.09849;0.0;25.65;0;0.581;5.879;95.8;2.0063;2;188;19.1;379.38;17.58
0.40771;0.0;6.2;1;0.507;6.164;91.3;3.048;8;307;17.4;395.24;21.46
1.05393;0.0;8.14;0;0.538;5.935;29.3;4.4986;4;307;21.0;386.85;6.58
0.14866;0.0;8.56;0;0.52;6.727;79.9;2.7778;5;384;20.9;394.76;9.42
0.55007;20.0;3.97;0;0.647;7.206;91.6;1.9301;5;264;13.0;387.89;8.1
5.66998;0.0;18.1;1;0.631;6.683;96.8;1.3567;24;666;20.2;375.33;3.73
11.0874;0.0;18.1;0;0.718;6.411;100.0;1.8589;24;666;20.2;318.75;15.02
8.79212;0.0;18.1;0;0.584;5.565;70.6;2.0635;24;666;20.2;3.65;17.16
0.01709;90.0;2.02;0;0.41;6.728;36.1;12.1265;5;187;17.0;384.46;4.5
0.03578;20.0;3.33;0;0.4429;7.82;64.5;4.6947;5;216;14.9;387.31;3.76
10.0623;0.0;18.1;0;0.584;6.833;94.3;2.0882;24;666;20.2;81.33;19.69
0.51183;0.0;6.2;0;0.507;7.358;71.6;4.148;8;307;17.4;390.07;4.73
0.06724;0.0;3.24;0;0.46;6.333;17.2;5.2146;4;430;16.9;375.21;7.34
14.2362;0.0;18.1;0;0.693;6.343;100.0;1.5741;24;666;20.2;396.9;20.32
2.3139;0.0;19.58;0;0.605;5.88;97.3;2.3887;5;403;14.7;348.13;12.03
0.6147;0.0;6.2;0;0.507;6.618;80.8;3.2721;8;307;17.4;396.9;7.6
0.09604;40.0;6.41;0;0.447;6.854;42.8;4.2673;4;254;17.6;396.9;2.98
0.14103;0.0;13.92;0;0.437;5.79;58.0;6.32;4;289;16.0;396.9;15.84
2.24236;0.0;19.58;0;0.605;5.854;91.8;2.422;5;403;14.7;395.11;11.64
5.82401;0.0;18.1;0;0.532;6.242;64.7;3.4242;24;666;20.2;396.9;10.74
0.21124;12.5;7.87;0;0.524;5.631;100.0;6.0821;5;311;15.2;386.63;29.93
6.71772;0.0;18.1;0;0.713;6.749;92.6;2.3236;24;666;20.2;0.32;17.44
6.28807;0.0;18.1;0;0.74;6.341;96.4;2.072;24;666;20.2;318.01;17.79
0.01501;80.0;2.01;0;0.435;6.635;29.7;8.344;4;280;17.0;390.94;5.99
0.02009;95.0;2.68;0;0.4161;8.034;31.9;5.118;4;224;14.7;390.55;2.88
1.23247;0.0;8.14;0;0.538;6.142;91.7;3.9769;4;307;21.0;396.9;18.72
4.64689;0.0;18.1;0;0.614;6.98;67.6;2.5329;24;666;20.2;374.68;11.66
0.06617;0.0;3.24;0;0.46;5.868;25.8;5.2146;4;430;16.9;382.44;9.97
0.49298;0.0;9.9;0;0.544;6.635;82.5;3.3175;4;304;18.4;396.9;4.54
0.19802;0.0;10.59;0;0.489;6.182;42.4;3.9454;4;277;18.6;393.63;9.47
0.03961;0.0;5.19;0;0.515;6.037;34.5;5.9853;5;224;20.2;396.9;8.01
0.06899;0.0;25.65;0;0.581;5.87;69.7;2.2577;2;188;19.1;389.15;14.37
0.19186;0.0;7.38;0;0.493;6.431;14.7;5.4159;5;287;19.6;393.68;5.08
0.06211;40.0;1.25;0;0.429;6.49;44.4;8.7921;1;335;19.7;396.9;5.98
0.03584;80.0;3.37;0;0.398;6.29;17.8;6.6115;4;337;16.1;396.9;4.67
0.15445;25.0;5.13;0;0.453;6.145;29.2;7.8148;8;284;19.7;390.68;6.86
0.62356;0.0;6.2;1;0.507;6.879;77.7;3.2721;8;307;17.4;390.39;9.93
0.17142;0.0;6.91;0;0.448;5.682;33.8;5.1004;3;233;17.9;396.9;10.21
1.34284;0.0;19.58;0;0.605;6.066;100.0;1.7573;5;403;14.7;353.89;6.43
0.61154;20.0;3.97;0;0.647;8.704;86.9;1.801;5;264;13.0;389.7;5.12
0.01432;100.0;1.32;0;0.411;6.816;40.5;8.3248;5;256;15.1;392.9;3.95
0.00632;18.0;2.31;0;0.538;6.575;65.2;4.09;1;296;15.3;396.9;4.98
0.88125;0.0;21.89;0;0.624;5.637;94.7;1.9799;4;437;21.2;396.9;18.34
0.7857;20.0;3.97;0;0.647;7.014;84.6;2.1329;5;264;13.0;384.07;14.79
0.01311;90.0;1.22;0;0.403;7.249;21.9;8.6966;5;226;17.9;395.93;4.81
0.10008;0.0;2.46;0;0.488;6.563;95.6;2.847;3;193;17.8;396.9;5.68
13.6781;0.0;18.1;0;0.74;5.935;87.9;1.8206;24;666;20.2;68.95;34.02
